Name,Level,NE_LAT,NE_LNG,SW_LAT,SW_LNG,LAT,LNG
"Phalodi, jodhpur",SUB-DISTRICT,27.158906,72.3951816,27.0891005,72.3305101,27.1312346,72.3589284
"Newa, jodhpur",VILLAGE,27.61588,72.15019989999999,27.4681999,71.97627,27.556776,72.07051849999999
"Ajeri, jodhpur",VILLAGE,27.49633,72.0690201,27.44159,71.9671601,27.4646166,72.0171862
"Durjani, jodhpur",VILLAGE,27.46653,72.04954,27.38886,71.9132199,27.4178155,71.9638445
"Jodhpur, jodhpur",DISTRICT,26.3572277,73.1368446,26.1834778,72.9242419,26.2389469,73.02430939999999
"Hanuman Nagar, jodhpur",VILLAGE,27.2305701,72.88318989999999,27.2012501,72.81419009999999,27.2206509,72.8574558
"Baroo, jodhpur",VILLAGE,27.3713863,71.89418789999999,27.3587327,71.8794249,27.363777,71.8882611
"Dholiya, jodhpur",VILLAGE,26.30242,72.8562899,26.24578,72.83532009999999,26.2714367,72.8456399
"Rola, jodhpur",VILLAGE,27.4852899,71.9460199,27.37663,71.80067,27.4407678,71.8808499
"Dedasari, jodhpur",VILLAGE,27.3587709,72.0336198,27.3415796,71.9982575,27.3511332,72.0171862
"Tekra, jodhpur",VILLAGE,27.24756,72.04540999999999,27.1094401,71.94318,27.2326173,71.9739309
"Mashala, jodhpur",VILLAGE,27.31076,71.92050979999999,27.2293599,71.83022,27.2672849,71.89863629999999
"Jesari, jodhpur",VILLAGE,27.25719,71.95912009999999,27.17489,71.90017,27.2136739,71.92235
"Khetusar, jodhpur",VILLAGE,26.30056,72.53661009999999,26.28423,72.50506,26.2908431,72.5175249
"Noore Ki Burj, jodhpur",VILLAGE,27.4220618,72.0976925,27.40088,72.07494729999999,27.4083911,72.08533129999999
"Kanasar, jodhpur",VILLAGE,27.47353,72.20975,27.38605,72.0864299,27.4331251,72.16530759999999
"Mandli, jodhpur",VILLAGE,27.51179,72.27265009999999,27.41492,72.18603,27.4522593,72.224535
"Narayan Nagar, jodhpur",VILLAGE,26.3017,72.55199999999999,26.2849299,72.53471979999999,26.2938006,72.5411869
"Lumbaniya, jodhpur",VILLAGE,27.47414,72.3092999,27.42444,72.26675,27.4437495,72.28967089999999
"Khakhuri, jodhpur",VILLAGE,27.37394,72.15568999999999,27.33884,72.1034699,27.3538625,72.1238412
"Manchitiya, jodhpur",VILLAGE,27.51455,72.35911999999999,27.43101,72.2799701,27.4646511,72.319273
"Rawra, jodhpur",VILLAGE,27.42287,72.2426799,27.3504899,72.1551501,27.3810139,72.2008455
"Ghator, jodhpur",VILLAGE,27.46382,72.3913299,27.3487201,72.2260901,27.3964888,72.319273
"Ramnagar, jodhpur",VILLAGE,26.72013,72.78916989999999,26.70079,72.74782979999999,26.7158856,72.76586759999999
"Amarpura, jodhpur",VILLAGE,27.3494323,72.0508718,27.3370432,72.0309162,27.3404718,72.04385359999999
"Sanwara Gaon, jodhpur",VILLAGE,27.55385,72.2842199,27.51018,72.23284989999999,27.5299407,72.25414409999999
"Modkiya, jodhpur",VILLAGE,27.32899,72.09904,27.28852,72.0286,27.3006305,72.0645932
"Madpura, jodhpur",VILLAGE,27.30229,72.0830801,27.2635601,72.0290301,27.2779167,72.0645932
"Durgani, jodhpur",VILLAGE,27.2571,72.0989599,27.19549,72.0184599,27.2309205,72.0527421
